First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
,,info@apexintegrativeok.com,(918) 800-0000,MD-Supervised,Apex Integrative Medicine - Tulsa,Tulsa,OK,United States,https://apexintegrativeok.com,Not found,Other,Lead,New,Tier 1,85,"$23,696",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $23,696 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@freedomxhealth.com,(918) 900-0000,MD-Supervised,FreedomX Health - Expansion,Tulsa,OK,United States,https://freedomxhealth.com,Not found,Other,Lead,New,Tier 1,85,"$10,642",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $10,642 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@immediatecareclinic.com,(918) 500-0001,MD-Supervised,Immediate Care Clinic - Expansion,Broken Arrow,OK,United States,https://immediatecareclinic.com,Not found,Other,Lead,New,Tier 1,85,"$18,884",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Urgent Care, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $18,884 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@edgeintegrativewellness.com,(405) 700-0000,NP-Led,Edge Integrative Wellness - Expansion,Edmond,OK,United States,https://edgeintegrativewellness.com,Not found,Other,Lead,New,Tier 1,85,"$8,060",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: NP-Led | Est. Monthly Volume: $8,060 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@akwellness.com,(870) 500-0000,NP-Led,AK Wellness & Tanning - Expansion,Jonesboro,AR,United States,https://akwellness.com,Not found,Other,Lead,New,Tier 1,85,"$21,342",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Tanning | Certifications: NP-Led | Est. Monthly Volume: $21,342 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@americaswellnessgroup.com,(870) 600-0000,MD-Supervised,Americas Wellness Group - Texarkana,Texarkana,AR,United States,https://americaswellnessgroup.com,Not found,Other,Lead,New,Tier 1,85,"$17,348",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $17,348 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@totalbodywellnessgroup.com,(601) 600-0000,NP-Led,Total Body Wellness Group - Hattiesburg,Hattiesburg,MS,United States,https://totalbodywellnessgroup.com,Not found,Other,Lead,New,Tier 1,85,"$23,894",Jan 2026,"Signal: New location expansion 2026 | Outreach Angle: Acknowledge multi-location expansion; propose volume pricing for bulk RUO peptide supply across all locations | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $23,894 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@alignwellnessms.com,(228) 600-0000,NP-Led,Align Wellness - Mississippi,Gulfport,MS,United States,https://alignwellnessms.com,Not found,Other,Lead,Open,Tier 2,70,"$8,853",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,853 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@apexhealthia.com,(319) 600-0000,NP-Led,Apex Health - Iowa,Iowa City,IA,United States,https://apexhealthia.com,Not found,Other,Lead,Open,Tier 2,70,"$6,660",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $6,660 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@balancedhealthia.com,(319) 700-0000,NP-Led,Balanced Health Clinic - Iowa,Waterloo,IA,United States,https://balancedhealthia.com,Not found,Other,Lead,Open,Tier 2,70,"$9,431",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $9,431 | Batch: Batch 7 | Quality Score: 70",Batch 7
