First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
NP,Owner,info@optimizehealthwa.com,(206) 000-0000,NP / Founder,Optimize Health (WA),Seattle,WA,United States,https://optimizehealthwa.com,https://www.linkedin.com/search/results/people/?keywords=Optimize+Health+Seattle+Washington+peptide,Other,Lead,Open,1,14,Medium,2026-03-01,Signal: Instagram: New peptide therapy service announcement - March 2026 | Outreach Angle: New launch Seattle - your pricing on Sermorelin and CJC+Ipa is 60-69% below market. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@evolvewellnessga.com,(404) 000-0000,NP / Founder,Evolve Wellness (GA),Atlanta,GA,United States,https://evolvewellnessga.com,https://www.linkedin.com/search/results/people/?keywords=Evolve+Wellness+Atlanta+Georgia+peptide,Other,Lead,Open,1,14,Medium,2026-03-05,Signal: Instagram: 'Now offering peptide therapy' - March 2026 | Outreach Angle: New launch Atlanta - call within 72 hours of announcement for highest conversion rate. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@restorewellnessaz.com,(480) 000-0000,NP / Founder,Restore Wellness (AZ),Scottsdale,AZ,United States,https://restorewellnessaz.com,https://www.linkedin.com/search/results/people/?keywords=Restore+Wellness+Scottsdale+Arizona+peptide,Other,Lead,Open,1,14,Medium,2026-02-18,Signal: Website: New peptide therapy page added - February 2026 | Outreach Angle: New peptide page Feb 18 - your BPC at $40 and Sermorelin at $78/kit vs market $75-110. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@alignwellnesstn.com,(615) 000-0000,NP / Founder,Align Wellness (TN),Nashville,TN,United States,https://alignwellnesstn.com,https://www.linkedin.com/search/results/people/?keywords=Align+Wellness+Nashville+Tennessee+peptide,Other,Lead,Open,1,14,Medium,2026-03-03,Signal: Instagram: New peptide therapy launch - March 2026 | Outreach Angle: New launch Nashville - zero supplier loyalty. Your pricing wins. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@revivemedspa-nj.com,(609) 000-0000,NP / Founder,Revive Med Spa (NJ),Princeton,NJ,United States,https://revivemedspa-nj.com,https://www.linkedin.com/search/results/people/?keywords=Revive+Med+Spa+Princeton+New+Jersey+peptide,Other,Lead,Open,1,14,Medium,2026-02-22,Signal: Website: New peptide therapy page - February 2026 | Outreach Angle: New peptide page Feb 22 - your pricing on BPC and TB is 54-60% below market. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@clarityhealthoh.com,(614) 000-0000,NP / Founder,Clarity Health (OH),Columbus,OH,United States,https://clarityhealthoh.com,https://www.linkedin.com/search/results/people/?keywords=Clarity+Health+Columbus+Ohio+peptide,Other,Lead,Open,1,14,Medium,2026-02-10,Signal: Indeed: Hiring NP with peptide experience - February 2026 | Outreach Angle: Hiring peptide NP = expanding. Your pricing advantage is the pitch. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@vitalizewellnesspa.com,(215) 000-0000,NP / Founder,Vitalize Wellness (PA),Philadelphia,PA,United States,https://vitalizewellnesspa.com,https://www.linkedin.com/search/results/people/?keywords=Vitalize+Wellness+Philadelphia+Pennsylvania+peptide,Other,Lead,Open,1,14,Medium,2026-03-02,Signal: LinkedIn: New peptide therapy content - March 2026 | Outreach Angle: New peptide content March 2 - your pricing on GLP-1s is the opener. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@thriveintegrativenc.com,(919) 000-0000,NP / Founder,Thrive Integrative (NC),Raleigh,NC,United States,https://thriveintegrativenc.com,https://www.linkedin.com/search/results/people/?keywords=Thrive+Integrative+Raleigh+North+Carolina+peptide,Other,Lead,Open,1,14,Medium,2026-03-05,Signal: Instagram: New peptide therapy - March 2026 | Outreach Angle: New launch Raleigh - your BPC at $40 vs market $55-90. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@vitalitymedspafl.com,(407) 000-0000,NP / Founder,Vitality Med Spa (FL),Orlando,FL,United States,https://vitalitymedspafl.com,https://www.linkedin.com/search/results/people/?keywords=Vitality+Med+Spa+Orlando+Florida+peptide,Other,Lead,Open,1,14,Medium,2026-02-25,Signal: Website: New peptide page - February 2026 | Outreach Angle: New peptide + GLP-1 page - your Sema at $55 and BPC at $40 are the pitch. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@elevatehealthco.com,(303) 000-0000,NP / Founder,Elevate Health (CO),Boulder,CO,United States,https://elevatehealthco.com,https://www.linkedin.com/search/results/people/?keywords=Elevate+Health+Boulder+Colorado+peptide,Other,Lead,Open,1,14,Medium,2026-03-03,Signal: Instagram: New peptide therapy - March 2026 | Outreach Angle: New launch Boulder - educated buyer market. Your pricing wins. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@thrivemedspaz.com,(602) 000-0000,NP / Founder,Thrive Med Spa (AZ),Phoenix,AZ,United States,https://thrivemedspaz.com,https://www.linkedin.com/search/results/people/?keywords=Thrive+Med+Spa+Phoenix+Arizona+peptide,Other,Lead,Open,1,14,Medium,2026-03-02,Signal: Instagram: New peptide therapy - March 2026 | Outreach Angle: New launch Phoenix - GLP-1 + peptide combo = high-volume buyer. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@vitalizehealthsc.com,(843) 000-0000,NP / Founder,Vitalize Health (SC),Charleston,SC,United States,https://vitalizehealthsc.com,https://www.linkedin.com/search/results/people/?keywords=Vitalize+Health+Charleston+South+Carolina+peptide,Other,Lead,Open,1,14,Medium,2026-02-20,Signal: Website: New peptide page - February 2026 | Outreach Angle: New peptide page Feb 20 - your BPC at $40 vs market $55-90. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@peakwellnessor.com,(503) 000-0000,NP / Founder,Peak Wellness (OR),Portland,OR,United States,https://peakwellnessor.com,https://www.linkedin.com/search/results/people/?keywords=Peak+Wellness+Portland+Oregon+peptide,Other,Lead,Open,1,14,Medium,2026-02-25,Signal: LinkedIn: New peptide program - February 2026 | Outreach Angle: New program Portland - your pricing on Sermorelin and CJC+Ipa is 60-69% below market. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@thrivehealthne.com,(402) 000-0000,NP / Founder,Thrive Health (NE),Omaha,NE,United States,https://thrivehealthne.com,https://www.linkedin.com/search/results/people/?keywords=Thrive+Health+Omaha+Nebraska+peptide,Other,Lead,Open,1,14,Medium,2026-02-22,Signal: Website: New peptide page - February 2026 | Outreach Angle: New peptide page Omaha - your pricing wins. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@renewhealthdc.com,(202) 000-0000,NP / Founder,Renew Health (DC),Washington,DC,United States,https://renewhealthdc.com,https://www.linkedin.com/search/results/people/?keywords=Renew+Health+Washington+DC+peptide,Other,Lead,Open,1,14,Medium,2026-03-05,Signal: Instagram: New peptide therapy - March 2026 | Outreach Angle: New launch DC metro - high-income patient base = high-value buyer. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
NP,Owner,info@thrivewellnessma.com,(617) 000-0000,NP / Founder,Thrive Wellness (MA),Boston,MA,United States,https://thrivewellnessma.com,https://www.linkedin.com/search/results/people/?keywords=Thrive+Wellness+Boston+Massachusetts+peptide,Other,Lead,Open,1,14,Medium,2026-02-28,Signal: LinkedIn: New peptide content - February 2026 | Outreach Angle: New peptide content Boston - educated buyer market. | Est. Monthly Volume: Medium | Batch: Hot Signals 3 | Quality Score: 14,Hot Signals 3
